web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
Sadiki,Sunderland,3,4.9,1.5,1.65,2.67,1.5,1.73
Muniz,Fulham,4,5.3,1.5,1.96,3.33,1.0,1.72
Odobert,Spurs,3,5.3,0.0,3.13,2.67,0.0,1.72
Wood,Nott'm Forest,4,7.1,0.0,2.92,2.33,0.0,1.7
Romero,Spurs,2,5.0,0.5,2.59,2.67,0.5,1.7
Hannibal,Burnley,3,4.7,1.5,1.89,3.33,0.8,1.69
Mukiele,Sunderland,2,4.5,0.0,3.03,2.67,0.0,1.68
Iroegbunam,Everton,3,4.8,2.0,1.02,2.67,2.0,1.67
Tchatchoua,Wolves,2,4.4,1.0,1.82,2.33,0.5,1.66
Gruda,Brighton,3,5.4,0.0,2.74,2.33,0.0,1.63
Douglas Luiz,Aston Villa,3,4.9,1.0,1.88,2.67,1.0,1.62
Mings,Aston Villa,2,4.3,1.5,1.38,2.67,1.5,1.62
L.Miley,Newcastle,3,4.4,0.0,3.36,3.67,0.0,1.61
Aït-Nouri,Man City,2,5.7,1.0,2.01,3.0,1.0,1.6
Chalobah,Chelsea,2,5.4,1.0,2.31,3.67,0.0,1.59
Savinho,Man City,3,6.9,0.0,2.96,3.0,0.0,1.58
A.Jimenez,Bournemouth,2,4.5,0.5,2.61,3.33,-0.5,1.58
Dominguez,Nott'm Forest,3,5.0,1.0,1.59,2.33,1.0,1.57
Robertson,Liverpool,2,5.7,1.5,1.34,3.0,2.0,1.54
Gvardiol,Man City,2,5.9,0.0,2.83,3.0,0.0,1.53
Pablo,West Ham,4,5.4,2.0,0.63,2.67,2.5,1.52
Hughes,Crystal Palace,3,4.7,0.0,2.79,3.0,0.0,1.52
Disasi,West Ham,2,4.5,1.5,1.11,2.67,2.0,1.51
Devenny,Crystal Palace,3,4.3,0.0,2.74,3.0,0.0,1.5
Todibo,West Ham,2,4.3,2.0,0.56,2.67,1.9,1.49
Trippier,Newcastle,2,4.9,1.0,2.04,3.67,1.0,1.48
Vicario,Spurs,1,4.7,2.5,0.04,2.67,0.6,1.48
Castagne,Fulham,2,4.3,1.0,1.86,3.33,0.5,1.48
Bailey,Aston Villa,3,5.5,1.0,1.52,2.67,1.0,1.47
Hermansen,West Ham,1,4.2,2.5,0.01,2.67,3.0,1.47
Andrey Santos,Chelsea,3,4.5,0.5,2.51,3.67,0.5,1.47
Zirkzee,Man Utd,4,5.8,0.0,2.5,2.67,0.5,1.47
Wissa,Newcastle,4,7.3,0.5,2.48,3.67,0.5,1.46
Broja,Burnley,4,5.2,0.5,2.27,3.33,0.0,1.44
Khusanov,Man City,2,5.4,2.0,0.57,3.0,2.0,1.43
Janelt,Brentford,3,4.9,0.0,2.7,3.33,0.0,1.41
Dragusin,Spurs,2,4.5,2.0,0.32,2.67,2.0,1.39
Veltman,Brighton,2,4.3,1.0,1.11,2.33,1.5,1.38
De Ligt,Man Utd,2,4.9,0.0,2.21,2.67,0.0,1.35
